title,type,dates,members,score
Mou Chuunibyou demo Ii mon!,Novel (1 vols),Oct 2015 - Oct 2015,39 members,N/A
Yarinaoshi Majutsu Kikoushi no Saisenroku,Novel (? vols),Oct 2015 -,39 members,N/A
Shura no Dress,Manga (4 vols),Feb 2013 - Feb 2014,46 members,N/A
Lovely Sick,Manga (2 vols),1998 - 1999,25 members,N/A
Mou DEBU nante Iwasenai!,Manga (1 vols),Jul 1997 - Jul 1997,15 members,N/A
Utatama♪,Manga (1 vols),Mar 2008 - Mar 2008,18 members,N/A
Yandeka,Manga (3 vols),Aug 2011 - May 2012,49 members,N/A
Sekai wa Akuma de Michiteiru?,Novel (2 vols),Jul 2006 - Oct 2006,29 members,N/A
Maiden/Aid,Manga (2 vols),Oct 2010 - Apr 2012,46 members,N/A
Mighty♡Heart,Manga (7 vols),Feb 2007 - Mar 2009,405 members,N/A
G Joshi!,Manga (3 vols),Mar 2014 - May 2016,226 members,N/A
Junai Torotolip,Manga (2 vols),Nov 2013 - May 2015,67 members,N/A
Hyoui☆Don!,Manga (2 vols),Oct 2011 - Apr 2014,169 members,N/A
Idol wo Mamoru dake no Kantan na Oshigoto.,Manga (1 vols),Aug 2012 - Aug 2012,45 members,N/A
Okusama wa Vampire,Manga (1 vols),Oct 2013 - Aug 2014,82 members,N/A
Love Comedy Kareshi to 18-kin Kanojo,Manga (1 vols),Oct 2013 - Dec 2014,51 members,N/A
Motoyome,Manga (? vols),Nov 2013 -,176 members,N/A
Little Chaos,Manga (2 vols),Apr 2014 - May 2015,267 members,N/A
Hana*Pare!: Hanasaku Shoutengai On Parade,Manga (2 vols),Jan 2010 - May 2011,30 members,N/A
Lance N' Masques: Inside Plus,Manga (? vols),Jun 2014 -,85 members,N/A
Ikenai Futari to Hajimete no Batsu,Manga (1 vols),Aug 2012 - Apr 2013,41 members,N/A
Settei Shoujo,Manga (3 vols),Aug 2011 - Jul 2013,60 members,N/A
Asahi Ojousama to Kashima-kun,Manga (2 vols),Oct 2011 - Jul 2013,76 members,N/A
Onsengai no Medusa,Manga (4 vols),Feb 2015 - Mar 2016,77 members,N/A
Akatsuki-iro no Senpuku Majo,Manga (3 vols),Aug 2006 - Apr 2008,63 members,N/A
Boku wa Boku yori Tomodachi ga Ooi Boku no Kanojo ga Shinpai!,Manga (1 vols),Jun 2013 - Jun 2014,40 members,N/A
Brother Complex Anthology: Liqueur,Manga (2 vols),Feb 2012 - Aug 2012,287 members,N/A
Emile,Manga (1 vols),Jun 2012 - Jun 2012,39 members,N/A
Manga Sekuhara Senmon Gakkou,Manga (1 vols),May 2001 - Mar 2003,31 members,N/A
Koisuru Lingerie,Manga (1 vols),Aug 2013 - Jan 2015,59 members,N/A
Koi wa Ninkyou,Manga (1 vols),Jan 2012 - Apr 2013,48 members,N/A
Sailor Zombie,Manga (4 vols),Apr 2014 - Dec 2015,65 members,N/A
Mahou-kei☆Kareshi,Manga (1 vols),Nov 2002 - May 2003,28 members,N/A
Re:make,Manga (7 vols),Feb 2013 - Apr 2016,29 members,N/A
Manowa: Mamono Taosu Nouryoku Ubau Watashi Tsuyokunaru!,Novel (? vols),Aug 2014 -,54 members,N/A
Dareka Kono Joukyou wo Setsumeishite Kudasai!: Keiyaku kara Hajimaru Wedding,Novel (? vols),Sep 2013 -,172 members,N/A
Ryuugajou Nanana no Maizoukin Bangai-hen,Novel (6 vols),Jun 2014 - Nov 2014,111 members,N/A
Kuubo Ibuki,Manga (? vols),Dec 2014 -,186 members,N/A
Youkai Watch Busters,Manga (1 vols),May 2015 - Aug 2015,56 members,N/A
Ryokuyou no Quester Lyric: Tamashii no Chouso,Novel (1 vols),Oct 2015 - Oct 2015,121 members,N/A
Chu Paradise,Novel (1 vols),Oct 2015 - Oct 2015,42 members,N/A
Qualidea Code: Sonna Sekai wa Kowashiteshimae,Novel (? vols),Oct 2015 -,324 members,N/A
99-banme no Kyuuketsuhime,Novel (1 vols),Oct 2015 - Oct 2015,152 members,N/A
Hitsugi no Chaika Bangai-hen,Manga (3 vols),Jun 2014 - Jan 2015,178 members,N/A
Akatsuki no Tyrant,Manga (5 vols),Oct 2015 - Sep 2016,114 members,N/A
Dai-13 Hokenshitsu,Manga (4 vols),May 2014 - Sep 2016,63 members,N/A
Boku mo Sekai mo Shinitakunai no ni,Novel (? vols),Nov 2015 -,69 members,N/A
Monument: Aruiwa Jibun Jishin no Kaibutsu,Novel (1 vols),Nov 2015 - Nov 2015,42 members,N/A
Sousei no Sousasen: Sayonara wa Bourbon de,Novel (1 vols),Sep 2013 - Sep 2013,22 members,N/A
Itatani-san to Ushiyama-san,Manga (1 vols),Jan 2013 - Jan 2014,58 members,N/A
A=Uchuu Shoujo 2x Tamashii no Sokudo,Novel (1 vols),Jan 2010 - Jan 2010,35 members,N/A
"Log Horizon Gaiden: Kushiyatama, Ganbaru!",Novel (? vols),Sep 2015 -,264 members,N/A
Tantei Team KZ Jiken Note,Manga (? vols),Oct 2015 -,146 members,N/A
Sentimental Letter,Manga (1 vols),Jul 2015 - Oct 2015,192 members,N/A
Pokémon the Movie XY: Ring no Choumajin Hoopa,Manga (1 vols),Apr 2015 - Jun 2015,204 members,N/A
Ore Space☆Dandy,Manga (1 vols),Jun 2014 - Oct 2014,274 members,N/A
Dezi-con,Manga (3 vols),Sep 2014 - Mar 2015,199 members,N/A
Houkago Death Game,Manga (1 vols),Jul 2011 - Jun 2015,153 members,N/A
Juuza no Ulna,Manga (7 vols),Oct 2015 - Jan 2019,168 members,N/A
Kabuki Drop,Manga (? vols),Oct 2015 -,22 members,N/A
Onsa no Hibiki,Manga (3 vols),Aug 2009 - Oct 2010,22 members,N/A
Ace,Manga (3 vols),Jan 2012 - Nov 2013,31 members,N/A
Sousei no Gaokerena,Manga (1 vols),Sep 2015 - Dec 2015,20 members,N/A
Kizudarake no Akuma,Manga (? vols),May 2014 -,236 members,N/A
Sore ga Sekai no Futsuu ni Naru,Manga (3 vols),Oct 2013 - Aug 2015,396 members,N/A
Yokujou Saddle,Novel (1 vols),Oct 2015 - Oct 2015,24 members,N/A
Wagaya no Ano Ko wa Erogänger!?,Novel (1 vols),May 2015 - May 2015,28 members,N/A
Sasuga desu Yuusha-sama!,Novel (? vols),Oct 2015 -,63 members,N/A
Yuusha ga Shuraba Sugite Sekai wo Sukutteru Baai ja Nai,Novel (? vols),Oct 2015 -,87 members,N/A
Pastel Kazoku,Manga (? vols),Oct 2013 -,113 members,N/A
"Saikyou Gamer, Isekai nite Jikkyou Play-chuu",Novel (? vols),Oct 2015 -,265 members,N/A
Otokujuku Gaiden: Kurenai!! Onnajuku,Manga (5 vols),Jan 2015 - Aug 2017,141 members,N/A
Isekai Teni shita node Cheat wo Ikashite Mahou Kenshi Yaru Koto ni Suru,Novel (? vols),Oct 2015 -,146 members,N/A
Waon!,Manga (? vols),Oct 2013 - Aug 2015,41 members,N/A
Kannou Shousetsuka no Ore ni Tenshi Sugiru Deshi nado Hitsuyounai!,Novel (1 vols),Oct 2015 - Oct 2015,24 members,N/A
"Isshuukan Gentei Danshi.: Watashi ga Otoko ni Natta Totan, Onna Tomodachi ga Hatsujou shita Ken",Novel (1 vols),Mar 2015 - Mar 2015,30 members,N/A
Saku wa Edo ni mo Sono Soshitsu,Manga (5 vols),Jan 2014 - Sep 2015,51 members,N/A
God Bless You,Manga (1 vols),1991 - 1993,32 members,N/A
Velvet Army,Manga (2 vols),1986 - 1987,34 members,N/A
Schwarzesmarken: Sekiei no Bernhard,Novel (? vols),Jun 2015 -,138 members,N/A
Aiko no Maa-chan,Manga (1 vols),Apr 2015 - Apr 2015,158 members,N/A
"Masou no Oujo: Dress ga Eranda, Niwaka Hanayome!?",Novel (1 vols),Jun 2014 - Jun 2014,28 members,N/A
Koigakubo Princess Honey,Manga (2 vols),Nov 2014 - Oct 2016,34 members,N/A
Adashino-san wa Sude ni Shinderu.,Manga (2 vols),Aug 2015 - Jul 2017,364 members,N/A
Taishou Rouman Kissatan Rakuen Otome S,Manga (1 vols),Aug 2014 - Aug 2015,40 members,N/A
Double Contract,Novel (8 vols),Apr 2011 - May 2013,32 members,N/A
Akuma to Koi nanka Shimasen!,Manga (1 vols),Aug 2013 - Jun 2014,66 members,N/A
Titan: Addsworth no Senshitai,Novel (? vols),Oct 2015 -,30 members,N/A
Toriko: Kokuouheika no Himegimi Choukyou,Novel (1 vols),Oct 2015 - Oct 2015,17 members,N/A
Tsuki no Mahou wa Koi wo Tsumugu Series,Novel (? vols),May 2015 -,13 members,N/A
Seiyaku no Hanayome to Kirameki no Ou,Novel (1 vols),Oct 2015 - Oct 2015,27 members,N/A
"Chikai no Kiss made, Ato Nannichi?: Outaishi Denka to Kareinaru Wedding Road",Novel (1 vols),Oct 2015 - Oct 2015,22 members,N/A
Kimi wa Sora no Subete,Manga (8 vols),Oct 2012 - Jun 2015,48 members,N/A
Gakuen Soul Guardians!?,Novel (1 vols),Sep 2007 - Sep 2007,27 members,N/A
Akuma wa Sekai no Kyuuseishu,Novel (1 vols),May 2008 - May 2008,34 members,N/A
Ukiyo Ryouran Shinobi-zoushi: Koi to Kenka wa Edo no Hana,Novel (1 vols),Sep 2011 - Sep 2011,36 members,N/A
Kitsune to Pancake,Manga (4 vols),Mar 2014 - Jan 2018,387 members,N/A
Raijin to Ryman,Manga (? vols),Jan 2015 -,67 members,N/A
Matome★Groggy Heaven,Manga (? vols),Jan 2015 -,100 members,N/A
Asu kara Orera ga Yattekita,Novel (2 vols),Feb 2012 - Jul 2012,36 members,N/A
Kare to Koi nante,Manga (8 vols),Jul 2015 - Jun 2018,288 members,N/A
Himitsu no Dormitory: Otome wa Inoru,Manga (1 vols),May 1999 - Nov 1999,48 members,N/A
Onegai Arcana,Manga (5 vols),1995 - 1998,25 members,N/A
Seifuku Duty,Manga (3 vols),May 2013 - Jul 2014,44 members,N/A
Shagara,Manga (5 vols),Mar 1993 - Jun 1994,27 members,N/A
Kawaii Hunter,Manga (? vols),Aug 2013 - Feb 2015,44 members,N/A
Amaenaide yo!! R,Manga (1 vols),Aug 2015 - Jan 2016,131 members,N/A
Digital Manga Death,Manga (? vols),Jul 2014 -,41 members,N/A
Ne no Kuni no Kumo,Manga (1 vols),Jan 2014 - May 2014,48 members,N/A
Deban desu yo? Kondou-san!,Manga (2 vols),Sep 2010 - May 2011,39 members,N/A
Joshidaisei no Nichijou,Manga (4 vols),Sep 2013 - Jan 2016,38 members,N/A
Shirobe,Manga (2 vols),1984 - 1984,21 members,N/A
Little Witch Academia: Tsukiyo no Oukan,Manga (1 vols),Sep 2015 - Dec 2015,672 members,N/A
Ikki-kun no Heroine,Manga (1 vols),Aug 2015 - Sep 2015,73 members,N/A
Yeongsuui Bom,Manhwa (2 vols),Oct 2014 - May 2015,148 members,N/A
Moira,Manga (? vols),Dec 2015 -,122 members,N/A
Parts no Pa,Manga (10 vols),Nov 2007 - Jun 2014,32 members,N/A
Z/X: Zillions of Enemy X,Manga (6 vols),Sep 2012 - Oct 2016,185 members,N/A
Koko wa Isekai Conveni Demon Eleven,Novel (? vols),Oct 2015 -,33 members,N/A
"Jisaku Game Sekai de Ore ga, Shinsenryaku de Musou suru",Novel (? vols),Oct 2015 -,34 members,N/A
Meikyuu!,Novel (? vols),Nov 2015 -,47 members,N/A
Ittou Ryoudan no Amber Kiss,Novel (? vols),Nov 2015 -,58 members,N/A
Bukiyou na Tenshi no Toriatsukai Setsumeisho,Novel (1 vols),Nov 2015 - Nov 2015,44 members,N/A
"Tsurugi to Mahou no Sekai desu ga, Ore no Kikai Heiki wa Kyou mo Muteki desu.",Novel (? vols),Nov 2015 -,88 members,N/A
Isekai Shuugaku Ryokou,Novel (7 vols),Oct 2015 - Feb 2018,56 members,N/A
Yuusha to Yuusha to Yuusha to Yuusha,Novel (? vols),Oct 2015 -,80 members,N/A
Sekai de 2-banme ni Omoshiroi Light Novel.,Novel (1 vols),Oct 2015 - Oct 2015,39 members,N/A
Shounen/Shoujo SF Manga Kyousaku Daizenshuu,Manga (29 vols),1978 - 1984,19 members,N/A
"Sugoku, Akaku, Shitai.",Manga (1 vols),Jan 2011 - Feb 2012,45 members,N/A
Sekai no Owari no Hajimari ni,Manga (1 vols),Sep 2014 - Sep 2014,76 members,N/A
Boireko!,Novel (1 vols),Jan 2010 - Jan 2010,33 members,N/A
Kurokano,Novel (1 vols),Apr 2008 - Apr 2008,24 members,N/A
Kusatta Ringo to Kyuuketsuki,Novel (1 vols),May 2009 - May 2009,33 members,N/A
Kyuuketsuki ni Kanojoyaku wo Tanonda Kekka→Tondemonai Koto ni Narimashita,Novel (1 vols),Oct 2015 - Oct 2015,41 members,N/A
Yamijishi Hakushaku no Saikon Jijou,Novel (1 vols),Oct 2015 - Oct 2015,30 members,N/A
Maougoroshi no Ryuukishi,Novel (? vols),Oct 2015 -,31 members,N/A
Akuma na Kisaki no Kiken na Konin,Novel (1 vols),Oct 2015 - Oct 2015,28 members,N/A
Koutei Heika to Kokoroyomi no Hime,Novel (1 vols),Oct 2015 - Oct 2015,12 members,N/A
"Kiseki no Ringo: ""Zettai Fukanou"" wo Kutsugaeshita Nouka Kimura Akinori no Kiroku",Manga (1 vols),May 2013 - May 2013,38 members,N/A
Booska+,Manga (3 vols),Apr 2014 - Aug 2015,21 members,N/A
Souyoku no Gift,Manga (5 vols),Aug 2013 - Sep 2015,31 members,N/A
Beyblade Burst,Manga (? vols),Jul 2015 -,231 members,N/A
Kidou Teikoku Obitaria,Manga (4 vols),Nov 2012 - Nov 2014,63 members,N/A
Shounen wa Kouya wo Mezasu,Manga (6 vols),Sep 1985 - Sep 1987,31 members,N/A
Rachel Sousou,Manga (1 vols),Jul 2014 - Aug 2015,43 members,N/A
Jorougumo no Kotowari,Manga (4 vols),May 2015 - Jan 2017,109 members,N/A
Photokano: Memorial Pictures,Manga (3 vols),Mar 2012 - Jul 2013,106 members,N/A
Hiraku,One-shot (? vols),Jul 2015 - Jul 2015,32 members,N/A
Konrei no Yoru wo Futatabi,Manga (1 vols),Aug 2013 - Aug 2013,43 members,N/A
Lupin III (2015),Manga (? vols),Oct 2015 -,289 members,N/A
Apartment of Gundam,Manga (4 vols),Jul 2013 - Oct 2015,101 members,N/A
Meitantei-bu Kono Ato Sugu!,Manga (1 vols),Dec 2011 - 2013,32 members,N/A
Navigatoria,Manga (3 vols),Mar 2012 - Sep 2014,64 members,N/A
Girl Versus Girl!,One-shot (? vols),Nov 2015 - Nov 2015,46 members,N/A
Bara Juuji Sousho: Walpurgis no Himatsuri,Novel (? vols),Oct 2015 -,41 members,N/A
Papa Kinsei First Love,Manga (2 vols),Oct 2012 - Apr 2013,58 members,N/A
Ten ni Kou,Manga (17 vols),Nov 2013 - Jan 2019,215 members,N/A
Moriyamachuu Kyoushuujo,Manga (1 vols),Sep 2009 - Jul 2010,67 members,N/A
Taifuu no Hi,Manga (1 vols),Jan 2008 - Jul 2012,44 members,N/A
Log Horizon 4-koma Anthology,Manga (1 vols),Feb 2015 - Feb 2015,296 members,N/A
Shoujo Kairo,Manga (? vols),Sep 2015 -,42 members,N/A
Red Dragon,Manga (5 vols),Oct 2015 - Nov 2017,184 members,N/A
Heisei Pink Denpa,Manga (1 vols),Oct 2015 - Nov 2016,26 members,N/A
Sasaki-san to Miyamoto-kun,Manga (2 vols),Oct 2015 - Nov 2016,58 members,N/A
Love Connector!,Manga (? vols),Jan 2015 -,46 members,N/A
Satomi☆Hakkenden Reboot,Manga (? vols),Apr 2015 -,28 members,N/A
Vanishing Starlight,Manga (2 vols),Nov 2015 - Jun 2017,307 members,N/A
Itsudemo Izurusou,Manga (? vols),Jan 2015 -,33 members,N/A
Yumemaboroshi no Gotoku,Manga (12 vols),1991 - Jul 1995,93 members,N/A
Daremo Shiranai 29-nichi,One-shot (? vols),Dec 2011 - Dec 2011,174 members,N/A
"Lady!? Steady, Go!!",Novel (? vols),Oct 2015 -,211 members,N/A
Chibiki no Iwa,Manga (1 vols),Apr 2012 - Apr 2012,70 members,N/A
Kyojin-tachi no Densetsu,Manga (1 vols),Oct 1977 - Nov 1977,118 members,N/A
fortissimo//Wiederbelebung der Seele,Novel (? vols),Nov 2010 - Mar 2011,49 members,N/A
Utatane Hime,Manga (1 vols),Oct 2006 - Oct 2010,108 members,N/A
Yuuwaku Vanilla Fukigen Mint,Manga (1 vols),Jun 2013 - Jun 2013,97 members,N/A
Love x Wanko,Manga (6 vols),Jan 2013 - Sep 2015,206 members,N/A
V・I・P,Manga (2 vols),2012 - 2014,128 members,N/A
Saezuri Koukou OK-bu!,Manga (2 vols),Jan 2015 - Oct 2015,22 members,N/A
Mahou Shoujo Misa,Manga (? vols),Jan 2014 -,35 members,N/A
Tsuki wo Sasu Yubi,Manga (4 vols),Aug 2014 - May 2016,67 members,N/A
Baiou Ryouran: Choushuu Bakumatsu Kyousoukyoku,Manga (5 vols),Mar 2010 - Dec 2013,60 members,N/A
Gundam Build Fighters,Novel (2 vols),Aug 2015 - Oct 2015,113 members,N/A
Ijiwaru Syrup,Manga (3 vols),Nov 2012 - Nov 2013,73 members,N/A
Vampire Dorobou Steel,Novel (1 vols),Oct 2015 - Oct 2015,18 members,N/A
Elf Inflation,Novel (? vols),Oct 2015 -,24 members,N/A
Haitoku no Konin,Novel (1 vols),Oct 2015 - Oct 2015,15 members,N/A
Aka to Kuro no Nali Knights Series,Novel (? vols),May 2015 -,56 members,N/A
Kamase-kei Heroine Route no Ketsumatsu wo Ore wa Shiranai,Novel (? vols),Nov 2015 -,32 members,N/A
Yuureisen Chronicle,Manga (? vols),Nov 2015 -,97 members,N/A
Kajiba no Baka IQ,Manga (3 vols),Jan 2013 - Jan 2019,37 members,N/A
Son Gokuu,Manga (9 vols),Apr 1984 - Dec 1985,61 members,N/A
Tatamidori Kasajirou,Manga (4 vols),1976 - 1977,100 members,N/A
"Shokugyou, Shounin",Novel (4 vols),Nov 2015 - Oct 2016,55 members,N/A
Diamond Paradise,Manga (3 vols),1984 - 1985,21 members,N/A
Double x Cross,Manga (1 vols),Aug 2015 - Oct 2017,127 members,N/A
Gourmet Gakuen Toriko,Manga (9 vols),Dec 2011 - Dec 2016,225 members,N/A
Ao no Kanata no Four Rhythm,Manga (1 vols),Oct 2015 - Mar 2016,600 members,N/A
Narcissu,Manga (2 vols),Nov 2008 - Dec 2009,230 members,N/A
"Otousan, Chibi ga Inakunarimashita",Manga (1 vols),Nov 2013 - Jul 2015,42 members,N/A
Shiro ga Ite,Manga (1 vols),Nov 2015 - Mar 2018,73 members,N/A
√3 = (Hitonami ni Ogoreya Onago),Manga (? vols),Nov 2011 -,40 members,N/A
A wo Nerae!,Manga (2 vols),Dec 2011 - Nov 2012,68 members,N/A
Eroman no Hoshi,Manga (2 vols),Feb 2007 - Aug 2010,105 members,N/A
Aoba Jitensha-ten e Youkoso!,Manga (20 vols),Mar 2012 - Jun 2017,42 members,N/A
Danny Boy,Manga (1 vols),Feb 2008 - Jun 2009,23 members,N/A
Futago no Oyaji,Manga (1 vols),Feb 1998 - Dec 2001,34 members,N/A
Girl Device,Manga (1 vols),Oct 2008 - Dec 2010,29 members,N/A
Hanjuku Kids!?,Manga (1 vols),Jun 2009 - Dec 2011,14 members,N/A
Hadaka no Anouchkas,Manga (? vols),Apr 2003 -,16 members,N/A
Henko-chan ni Naritakute,Manga (1 vols),Feb 2011 - Jun 2013,21 members,N/A
Kodomo no Asobi,Manga (1 vols),Jan 2006 - Jan 2006,89 members,N/A
Kyuusai no Hi,Manga (1 vols),Aug 2006 - Aug 2008,112 members,N/A
Mabui,Manga (1 vols),Oct 2010 - Oct 2010,20 members,N/A
Morimite,Manga (1 vols),Mar 2014 - Mar 2014,34 members,N/A
Mother Cosmos,Manga (1 vols),Nov 2005 - Nov 2005,42 members,N/A
Mirai Bouken Channel 5,Manga (5 vols),Apr 1994 - 2000,25 members,N/A
Namuji,Manga (5 vols),1989 - 1991,31 members,N/A
Jinmu,Manga (5 vols),1992 - 1995,33 members,N/A
Sakura no Furu Yoru,Manga (1 vols),Dec 1995 - Dec 1995,10 members,N/A
C Court,Manga (1 vols),1987 - 1988,22 members,N/A
Maraya,Manga (4 vols),1998 - 2000,29 members,N/A
Nijiiro no Trotsky,Manga (8 vols),1990 - 1996,52 members,N/A
Koi Musubi Limit,One-shot (? vols),Dec 2011 - Dec 2011,21 members,N/A
Centimeter 28 cm,Manga (? vols),Feb 2011 - Jun 2011,39 members,N/A
Mahoutsukai no Konyakusha,Novel (? vols),Nov 2015 -,311 members,N/A
Tairiku Eiyuu Senki,Novel (? vols),Nov 2015 -,72 members,N/A
Nein: 9th Story,Manga (3 vols),Dec 2015 - Mar 2017,203 members,N/A
Watashi ga Iutoori ni Naru,Manga (3 vols),Feb 2015 - Jun 2017,315 members,N/A
Daiku no Magia,Manga (2 vols),Jan 2015 - Dec 2015,300 members,N/A
Pussy Cat,One-shot (? vols),Dec 2008 - Dec 2008,52 members,N/A
Isourou no Akai-san,Manga (2 vols),Aug 2015 - Nov 2016,23 members,N/A
Meminisse,Manga (2 vols),Nov 2014 - Jan 2016,174 members,N/A
Zetsubou no Eve,Manga (4 vols),2013 - Mar 2015,67 members,N/A
Shinba Ra Da,Manga (3 vols),Mar 2011 - Nov 2011,30 members,N/A
Tokiwa-san to Inoue-kun no Moushin,Manga (? vols),Dec 2014 -,74 members,N/A
Soine-ya Honpo,Manga (1 vols),Oct 2015 - Feb 2016,19 members,N/A
Satsubatsu Share Life,Manga (? vols),Nov 2015 -,231 members,N/A
Dokidoki Sister♡Aoi-chan,Manga (3 vols),Aug 2014 - Dec 2016,76 members,N/A
Hontou ni Atta Shougeki no Kyoufu Taiken,Manga (1 vols),Jan 2015 - Jan 2015,117 members,N/A
Bonnou Midnight,Manga (1 vols),Sep 2015 - Nov 2015,111 members,N/A
Futsutsukamono desu ga,Manga (4 vols),Aug 2014 - Oct 2017,98 members,N/A
Hunky Dory,Manga (3 vols),Oct 2015 - Dec 2016,532 members,N/A
3LDK no Ousama,Manga (3 vols),Jan 2014 - Dec 2015,406 members,N/A
Koi ja Nai Hazu ga Nakatta,Manga (? vols),Sep 2015 - Nov 2015,40 members,N/A
Omiashi wo Koko e,One-shot (? vols),Nov 2012 - Nov 2012,122 members,N/A
100-en Shop Tenin ga Isekai Trip shita Kekka.,Novel (2 vols),Oct 2015 - Apr 2016,155 members,N/A
Sahoutsukai no Shishou-chan,Novel (2 vols),Dec 2015 - Mar 2016,34 members,N/A
Rikon Club,Manga (2 vols),Oct 1974 - Jul 1975,364 members,N/A
Kiitarou Shounen no Youkai Enikki,Manga (? vols),Oct 2008 -,272 members,N/A
Kasukabe-kun Another,Doujinshi (1 vols),Aug 2012 - May 2013,180 members,N/A
Souri Daijin Noel!,Novel (9 vols),Jul 2001 - Dec 2007,22 members,N/A
Kakumei Senshi Inudou Sadao,Manga (2 vols),Oct 2011 - Nov 2012,183 members,N/A
Ningyoutsukai,One-shot (? vols),May 1982 - May 1982,68 members,N/A
Shiawase no Katachi,Manga (5 vols),Jun 1986 - Mar 1991,52 members,N/A
Macross Frontier,Novel (4 vols),Jul 2008 - Mar 2009,158 members,N/A
Sephirot,Novel (? vols),Nov 2015 -,52 members,N/A
Tensei Maou no Isekai Slow Life: Oide yo Maoumura!,Novel (? vols),Nov 2015 -,102 members,N/A
Kimi kara Uketsugu Brave Chronicle,Novel (1 vols),Nov 2015 - Nov 2015,120 members,N/A
Asia Burai: Senjou no Toppamono,Manga (2 vols),Jun 2005 - Feb 2006,22 members,N/A
Shimauma Gaiden: Aka to Kiinu,Manga (1 vols),Jul 2011 - Sep 2011,41 members,N/A
Usotsuki ni Sayonara,One-shot (? vols),Jun 2012 - Jun 2012,116 members,N/A
Studio Pulp,Manga (? vols),Feb 2015 -,177 members,N/A
Houkago Undead,Manga (? vols),Apr 2015 - Sep 2016,25 members,N/A
Buddy Strike,Manga (1 vols),Nov 2015 - Feb 2016,328 members,N/A
Boukyaku Tantei Series,Novel (? vols),Oct 2014 -,"2,047 members",N/A
Pasta no Oukoku,Manga (1 vols),May 2009 - Feb 2010,19 members,N/A
Shoukan Kyoushi Real Bout High School EX,Novel (5 vols),Aug 1998 - Aug 2007,28 members,N/A
Real Bout High School: Early Days,Novel (3 vols),Jan 2003 - Aug 2008,31 members,N/A
Hakugai Fukutsu no Blade Maker,Novel (? vols),Nov 2015 -,24 members,N/A
MOE: Meshimase Otome na Eitango,Novel (1 vols),Nov 2015 - Nov 2015,17 members,N/A
Ao no Corsair,Novel (1 vols),Nov 2015 - Nov 2015,27 members,N/A
Hidarikiki Datta kara Isekai ni Tsureteikareta,Novel (? vols),Jul 2015 -,64 members,N/A
"Oujo, Iseki Tanken e Iku",Novel (1 vols),Nov 2015 - Nov 2015,21 members,N/A
Akuyaku Reijou Koukyuu Monogatari,Novel (? vols),Aug 2013 -,96 members,N/A
Koushaku-sama no Midara na Tehodoki: Koi to wa Donna Mono kashira,Novel (1 vols),Nov 2015 - Nov 2015,16 members,N/A
Mitsukoi Engage: Ichizu na Koushaku no Amai Yuuwaku,Novel (1 vols),Nov 2015 - Nov 2015,29 members,N/A
Tenohira no Tsuyu,Novel (? vols),Aug 2015 -,17 members,N/A
Taikyoku Senkaden Series,Novel (? vols),Jul 2015 -,26 members,N/A
"Kamisama ni Narimashite, Series",Novel (3 vols),Nov 2015 - Sep 2016,20 members,N/A
Youkoso Kurotsubaki-ya e! Series,Novel (3 vols),May 2015 - Nov 2015,22 members,N/A
Nikujo no Susume,Manga (? vols),Sep 2015 -,796 members,N/A
Invisible Joe,Manga (3 vols),Jan 2014 - Apr 2015,112 members,N/A
Shousetsu Futari wa Precure,Novel (1 vols),Sep 2015 - Sep 2015,82 members,N/A
Heartcatch Precure!,Novel (1 vols),Sep 2015 - Sep 2015,89 members,N/A
Akuru-chan Break,Manga (1 vols),Oct 2000 - Oct 2001,28 members,N/A
Akuru-chan High!,Manga (1 vols),Nov 2001 - Aug 2002,26 members,N/A
Yorimichi no Futari,Manga (2 vols),2013 - 2014,32 members,N/A
Rock,Manga (3 vols),Apr 2012 - May 2013,80 members,N/A
Monmon Mononoke,Manga (4 vols),Jun 2015 - Sep 2016,302 members,N/A
Fukufuku Heights,Manga (1 vols),Mar 2013 - Nov 2013,216 members,N/A
Kare wa Onna to Shita Koto Nai.,Manga (1 vols),Jan 2013 - Dec 2013,48 members,N/A
"Kare wa Ima, Koi wo Shiteiru.",Manga (1 vols),Jul 2013 - Jul 2014,259 members,N/A
Dictators: Rettou no Dokusaisha,Manga (3 vols),Apr 2015 - Jun 2017,39 members,N/A
Kageki Shoujo!!,Manga (? vols),Feb 2015 -,107 members,N/A
Oujou no Jouken,Manga (3 vols),Jan 2014 - Oct 2017,29 members,N/A
Uchuujin no Shiwaza desu!,Manga (3 vols),Dec 2015 - Dec 2017,97 members,N/A
Sono Shousetsuka wa Chocolat de Dekiteiru.,Manga (1 vols),May 2011 - Jan 2013,27 members,N/A
Hyra no SP: Ryuubatsuchou Chousa Shikkoubu Dai-3-ka,Manga (4 vols),Apr 2015 - Jan 2017,46 members,N/A
Shitsuji na Anata to Maid na Watashi: Gohoubi wa ♥♥♥,Manga (1 vols),2012 - 2012,30 members,N/A
